,coins,market_cap_1jan
0,carbon,1001494.5051067958
1,smartshare,1006695.1711521792
2,squirrel-finance,1007755.893813056
3,chads-vc,1009022.9866617138
4,dimecoin,1011076.8465878352
5,pakcoin,1017328.0006795971
6,bitcoin-lightning,1021153.8671237295
7,bnsd-finance,1027691.0351333908
8,tidex-token,1030979.238617014
9,origo,1039640.660033163
10,defipie,1045033.2610322824
11,2key,1052910.0934184536
12,mooncoin,1064615.7018988128
13,ethereum-yield,1070882.8171683964
14,transfercoin,1079189.4103947517
15,hiveterminal,1082938.138697673
16,build-finance,1092352.368570274
17,pascalcoin,1100713.657896524
18,auroracoin,1103491.5605304935
19,pegnet,1109064.3920448043
20,akropolis-delphi,1113489.2316792952
21,axpire,1119862.3566730132
22,change,1121084.1057088373
23,bitcoin-plus,1129012.8402107256
24,daex,1131530.458651553
25,aeron,1132157.75412878
26,swiss-finance,1133504.7160261627
27,earnbase,1137549.055915921
28,piedao-defi-small-cap,1141174.4279554172
29,megacoin,1141727.968880069
30,tornadocore,1145307.6322310383
31,unifi,1150347.2589859366
32,qiibee,1163865.481234674
33,lightstreams,1172778.763378935
34,pinkcoin,1174295.9489116564
35,lua-token,1176514.1582788888
36,ultralpha,1177031.0537167368
37,perth-mint-gold-token,1177641.1793680757
38,adamant-messenger,1181456.9839090672
39,freedom-coin,1184488.2984192704
40,freicoin,1186289.317201536
41,ycash,1187162.9244753907
42,palletone,1189853.2366740592
43,banano,1191214.8222849143
44,trueflip,1194929.6715056463
45,snowswap,1196477.5750648458
46,vether,1198610.762676934
47,enq-enecuum,1198884.7624252574
48,creativecoin,1202160.3391875897
49,exrnchain,1202216.8500707478
50,zrcoin,1209397.2398064705
51,zero,1211668.6184138176
52,educoin,1215554.3549034111
53,cargox,1216965.479004657
54,sake-token,1219715.546601368
55,bcv,1235707.6110865471
56,julien,1235860.0951241236
57,ionchain-token,1236256.0809582868
58,shard,1243119.9681165102
59,veil,1252872.4786991356
60,carvertical,1259748.4570741698
61,vericoin,1266488.1865268874
62,unisocks,1277228.117795972
63,nolimitcoin,1279757.6044347112
64,cnn,1280370.2158463642
65,hydro-protocol,1286674.9626395348
66,chai,1293878.158463417
67,archer-dao-governance-token,1298251.4244148675
68,robotina,1304975.638865844
69,chronobank,1308397.3916332985
70,internxt,1310168.1775610985
71,nfx-coin,1320221.1390134904
72,humaniq,1335489.9434010996
73,smileycoin,1354120.012328182
74,jur,1357439.068622801
75,fuse-network-token,1358853.3323115753
